"selected","oracle cloud infrastructure foundations associate","aws certified cloud practitioner","aws certified solutions architect - associate1","aws cloud practitioner","mta security fundamentals","mta python","google cloud certified associate cloud engineer","mta java","microsoft azure fundamentals","junipernetworksjnciajunosjn0103certifiedassociate","mta49","thub","owl coder","hero vired","both","photoshop","unreal engine","react js","bootstrap","cloud","python","java script","express js","c++","sql","maya","blender","css","c#","c","company_id"
"kj systems,apt online","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","44"
"deloitte usi","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","45"
"invi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46"
"park controls & communications","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","0","0","0","0","0","1","47"
"figma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48"
"html","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49"
"aparna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","1","0","1","0","0","50"
"keka","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","0","0","1","0","1","1","1","1","1","0","51"
"extramarks","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","52"
"moveinsync","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","53"
"zemoso","1","1","0","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","54"
"nsl","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","55"
"cartrade tech","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","56"
"java","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57"
"kj systems","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","0","0","1","0","0","58"
"adp","1","1","0","1","0","1","0","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","59"
"maersk","1","1","0","1","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1","60"
"magikminds","1","1","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","61"
"ibm","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","62"
"altcognito","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","0","0","63"
"unschool","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","1","1","0","1","1","1","1","0","64"
"ball beverage packaging (india) pvt ltd","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","65"
"aws","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66"
"certified solutions architect - associate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67"
"zopsmart","1","1","0","0","1","1","0","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","0","68"
"hitachi vantara","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","1","1","0","0","0","1","1","1","0","0","69"
"thoughtclan","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","70"
"hexaview","0","1","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","1","1","1","1","0","0","71"
"cdk global","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0","72"
"yubi","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","73"
"nxt wave","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","74"
"musigma","1","1","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","75"
"legato","1","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","76"
"46ai","1","1","0","1","0","1","0","0","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","1","1","1","0","0","77"
"apxor","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","78"
"divami","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","1","0","1","1","1","1","0","0","1","1","0","0","0","79"
"infor","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","80"
"iquadra","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","1","1","1","1","1","0","0","1","81"
"vit","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","1","1","0","0","1","1","0","1","0","82"
"faceprep","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","83"
"digitaltrust","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","84"
"embeautomations","1","1","0","1","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","85"
"turbohire","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","86"
"acuvate","1","1","0","1","1","1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","0","1","0","0","87"
"netmeds","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","0","0","1","1","1","0","1","0","1","1","1","0","0","0","88"
"schlumberger","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","0","0","1","1","1","1","1","0","0","0","1","0","0","0","89"
